Projectile: 4He; target: 11B; E = 29 MeV
http://dx.doi.org/10.1088/1742-6596/940/1/012034
Angle       C/s
29.83       76.96       
32.50       84.74       
35.17       57.79       
37.83       32.679      
40.47       13.694      
43.11       6.575       
45.73       4.468       
48.34       5.971       
50.93       6.608       
53.51       6.256       
56.08       5.523       
58.63       3.434       
61.16       2.226       
63.68       1.486       
66.17       1.124       
69.88       1.664       
73.54       3.238       
77.16       3.076       
