Projectile: 4He; target: 13C; E = 28.4 MeV
http://dx.doi.org/10.1016/0375-9474(71)90795-0
Angle       C/s
25.9        9.743e+01   6.200e-01   
29.3        1.998e+02   4.290e+00   
33.5        1.746e+02   1.875e+00   
36.8        7.507e+01   1.667e-01   
39.0        1.753e+01   8.959e-01   
42.3        9.355e+00   7.012e-01   
45.1        2.242e+01   1.043e+00   
48.6        2.881e+01   1.340e+00   
51.3        2.699e+01   1.031e+00   
54.5        1.812e+01   8.422e-01   
57.7        6.930e+00   6.838e-01   
60.7        3.845e+00   5.406e-01   
63.6        2.815e+00   2.777e-01   
66.6        3.843e+00   1.628e-01   
69.1        6.376e+00   2.964e-01   
72.6        9.804e+00   4.356e-01   
75.2        1.359e+01   6.879e-01   
78.3        1.560e+01   9.173e-01   
81.2        1.553e+01   8.498e-01   
83.7        1.056e+01   5.779e-01   
86.8        7.503e+00   4.103e-01   
89.5        6.336e+00   2.945e-01   
92.7        9.072e+00   5.332e-01   
94.8        1.374e+01   8.635e-01   
97.5        1.844e+01   3.180e-01   
