Projectile: 4He; target: 7Li; E = 5 MeV
http://dx.doi.org/10.1143/JPSJ.51.3093
Angle       C/s
44.8        7.866e+01   3.379e+00   
47.8        6.706e+01   2.220e+00   
51.7        5.081e+01   1.683e+00   
55.9        3.851e+01   1.655e+00   
60.0        3.043e+01   1.008e+00   
64.2        2.385e+01   1.175e+00   
68.4        1.838e+01   7.896e-01   
72.8        1.581e+01   6.795e-01   
80.4        1.293e+01   7.846e-01   
84.7        1.326e+01   6.533e-01   
88.3        1.230e+01   5.288e-01   
93.8        1.160e+01   4.783e-01   
98.7        1.171e+01   4.010e-01   
103.7       1.105e+01   5.723e-01   
111.5       1.042e+01   4.477e-01   
115.7       8.238e+00   4.717e-01   
119.8       6.678e+00   4.051e-01   
124.3       4.652e+00   4.088e-01   
129.0       2.394e+00   2.840e-01   
133.3       1.351e+00   1.603e-01   
137.9       1.340e+00   1.550e-01   
142.6       2.377e+00   2.972e-01   
145.8       7.994e+00   5.204e-01   
149.0       1.779e+01   1.018e+00   
153.1       3.129e+01   1.346e+00   
156.3       5.986e+01   2.576e+00   
159.6       9.123e+01   5.541e+00   
162.6       1.322e+02   8.609e+00   
165.9       1.836e+02   7.894e+00   
