Projectile: 6Li; target: 16O; E = 25.7 MeV
http://dx.doi.org/10.1103/PhysRevC.30.916
Angle       R/s
8.5         0.86        5.          
9.9         0.82        5.          
11.3        0.83        5.          
12.6        0.78        5.          
14.0        0.68        5.          
15.4        0.58        5.          
16.8        0.40        5.          
18.1        0.36        5.          
19.5        0.30        5.          
20.8        0.29        5.          
22.2        0.30        5.          
23.6        0.38        5.          
24.9        0.39        5.          
26.3        0.36        5.          
27.0        0.31        5.          
28.3        0.25        5.          
29.7        0.19        5.          
31.0        0.13        5.          
32.3        0.10        5.          
33.7        0.099       5.          
35.1        0.12        5.          
36.4        0.16        5.          
37.7        0.19        5.          
39.1        0.22        5.          
40.4        0.23        5.          
41.7        0.22        5.          
43.1        0.18        5.          
44.8        0.12        5.          
46.1        0.071       5.          
46.5        0.045       5.9         
47.8        0.014       9.1         
49.1        0.013       9.1         
50.4        0.011       11.1        
51.7        0.014       10.5        
53.0        0.027       8.          
54.3        0.039       7.          
55.6        0.047       6.7         
56.9        0.059       6.2         
58.2        0.053       6.9         
59.5        0.064       6.6         
60.8        0.053       7.5         
62.0        0.043       8.7         
62.9        0.039       8.1         
64.2        0.036       8.8         
66.7        0.021       10.1        
69.2        0.025       10.         
72.0        0.030       12.1        
73.3        0.027       13.3        
75.0        0.020       7.9         
77.0        0.015       9.3         
79.0        0.017       9.1         
81.0        0.021       8.5         
83.0        0.027       7.5         
84.4        0.031       7.2         
85.0        0.036       6.8         
85.6        0.045       9.5         
87.0        0.050       5.9         
89.0        0.063       5.4         
91.0        0.077       5.          
93.0        0.088       5.          
95.0        0.098       5.          
97.0        0.11        5.          
99.0        0.10        5.          
101.6       0.11        7.5         
103.6       0.075       9.1         
105.6       0.065       8.7         
107.6       0.063       9.          
109.6       0.069       9.3         
111.6       0.072       10.         
112.4       0.070       5.7         
114.4       0.071       5.8         
116.4       0.061       6.3         
118.4       0.064       6.3         
120.4       0.067       7.3         
122.4       0.071       9.2         
124.4       0.053       6.0         
127.0       0.051       7.5         
129.0       0.053       7.5         
