Projectile: 6Li; target: 4He; E = 19.6 MeV
http://dx.doi.org/10.1103/PhysRevC.56.270
Angle       C/s
18.79       1700.00     74.00       
25.10       636.00      34.00       
31.45       199.00      8.00        
37.84       40.10       2.10        
44.31       24.30       1.10        
50.87       40.40       2.10        
55.00       45.20       2.40        
57.53       47.80       1.80        
60.00       50.40       2.20        
64.34       45.70       2.40        
65.00       47.70       2.10        
70.00       43.40       1.60        
71.34       46.50       2.10        
75.00       36.40       1.60        
78.59       28.80       1.50        
80.00       26.10       1.20        
85.00       15.40       0.70        
90.00       7.56        0.29        
95.00       6.06        0.22        
100.00      12.60       0.60        
105.00      24.40       1.10        
110.00      37.90       1.50        
115.00      46.30       1.60        
120.00      46.50       2.50        
125.00      38.10       1.60        
130.00      25.30       1.40        
135.00      15.20       0.60        
140.00      13.10       0.70        
145.00      22.40       1.00        
150.00      44.60       2.40        
155.00      48.90       2.10        
160.00      43.90       2.40        
165.00      33.80       1.50        
