Projectile: 7Li; target: 10B; E = 39 MeV
http://dx.doi.org/10.1103/PhysRevC.38.2124
Angle       R/s
19.15       0.376       
20.19       0.442       
21.84       0.6         
22.74       0.717       
23.48       0.611       
24.53       0.592       
26.17       0.584       
26.91       0.378       
27.21       0.424       
29.44       0.25        
29.89       0.181       
32.72       9.54e-02    
33.47       0.188       
35.71       0.171       
36.76       0.272       
38.56       0.326       
40.2        0.316       
43.48       0.196       
47.06       0.1082      
50.34       0.138       
53.48       0.158       
56.62       0.153       
60.05       0.137       
63.33       0.1171      
66.62       0.1194      
69.9        0.1087      
73.04       0.1091      
