Projectile: 7Li; target: 16O; E = 42 MeV
http://dx.doi.org/10.1103/PhysRevC.75.024612
Angle       C/s
11.49       3.3010e+03  5.5810e+01  
12.93       1.2974e+03  2.3110e+01  
15.80       6.4268e+02  1.5690e+01  
17.23       6.2080e+02  1.7110e+01  
18.66       4.3885e+02  1.6970e+01  
20.09       3.0731e+02  1.3440e+01  
22.94       5.9866e+01  4.6700e+00  
24.36       3.4735e+01  4.1800e+00  
25.79       2.5844e+01  2.7100e+00  
27.21       3.2495e+01  2.0000e+00  
32.86       1.7254e+01  1.5100e+00  
34.27       7.3242e+00  8.6000e-01  
35.68       2.8931e+00  4.8000e-01  
38.48       2.4765e+00  3.1000e-01  
41.25       4.5108e+00  3.9000e-01  
42.66       3.5614e+00  3.6000e-01  
44.05       3.5464e+00  3.5000e-01  
46.82       1.2334e+00  2.1000e-01  
48.19       5.5614e-01  1.3000e-01  
52.30       2.5605e-01  1.0000e-01  
