Projectile: 8Li; target: 7Li; E = 11 MeV
http://dx.doi.org/10.1103/PhysRevC.88.025804
Angle       C/s
21.4        2498.0      178.0       
23.6        1553.0      111.0       
25.7        1088.0      79.0        
27.9        711.9       51.9        
30.1        419.6       31.3        
32.2        257.0       21.5        
78.4        4.0         0.2         
84.1        4.3         0.2         
89.3        4.1         0.2         
94.4        3.3         0.2         
99.4        2.8         0.2         
103.9       2.7         0.2         
108.4       2.6         0.2         
