Projectile: d; target: 3He; E = 10 MeV
https://doi.org/10.1103/PhysRev.88.425
Angle       C/s
33.2        418.0       0.0019      
37.3        290.0       0.013       
41.4        215.0       0.011       
45.4        142.0       0.007       
49.5        100.0       0.005       
53.5        59.70       0.0029      
57.5        39.10       0.0021      
61.4        24.00       0.0016      
65.4        18.30       0.0013      
69.3        23.50       0.0012      
73.1        29.50       0.0014      
76.9        40.40       0.0019      
80.7        51.50       0.0024      
84.4        63.90       0.0031      
88.1        72.10       0.0033      
91.7        80.40       0.0039      
95.3        86.10       0.0040      
98.8        83.70       0.0039      
102.2       84.30       0.0040      
105.0       76.80       0.0038      
105.5       81.40       0.0043      
108.8       69.60       0.0033      
110.0       69.50       0.0033      
112.0       64.20       0.0031      
115.0       47.80       0.0032      
115.1       53.20       0.0045      
118.1       45.20       0.0026      
120.0       35.60       0.0020      
121.0       36.40       0.0029      
123.9       34.70       0.0054      
125.0       36.20       0.0051      
126.6       30.00       0.0034      
130.0       24.60       0.0021      
135.0       40.90       0.0050      
140.0       53.80       0.0076      
