Projectile: p; target: 10B; E = 5.8 MeV
https://doi.org/10.1103/PhysRev.187.1351
Angle       C/s
26.5        7.09e+02    
32.0        3.71e+02    
37.5        2.47e+02    
42.7        1.73e+02    
47.7        1.32e+02    
53.2        9.47e+01    
58.7        6.24e+01    
63.9        4.24e+01    
69.1        2.82e+01    
74.4        1.92e+01    
79.4        1.43e+01    
84.8        1.33e+01    
89.6        1.35e+01    
94.6        1.81e+01    
94.8        1.68e+01    
99.8        2.30e+01    
104.7       2.95e+01    
109.7       3.56e+01    
114.5       4.21e+01    
119.2       4.68e+01    
123.7       5.19e+01    
128.7       5.89e+01    
133.2       6.14e+01    
138.4       6.75e+01    
142.9       6.90e+01    
146.9       7.50e+01    
151.2       7.43e+01    
156.4       7.83e+01    
160.9       7.91e+01    
165.2       7.83e+01    
