Projectile: p; target: 12C; E = 5.5 MeV
https://doi.org/10.1016/0168-9002(93)90710-Y
Angle       C/s
32.4        291.5       20.4        
34.5        238.6       16.8        
36.7        201.5       14.2        
38.8        172.5       12.2        
41.0        150.5       10.7        
43.1        130.7       9.3         
45.2        114.0       8.1         
47.3        101.1       4.7         
49.5        90.9        4.2         
51.6        81.5        3.8         
53.7        73.2        3.5         
55.8        65.8        3.1         
57.9        58.5        2.8         
60.0        52.9        2.5         
62.1        47.8        2.3         
64.2        43.1        2.1         
66.2        39.4        1.9         
68.3        35.2        1.7         
70.4        31.8        1.6         
72.5        29.5        1.5         
74.5        26.5        1.4         
79.6        23.6        1.2         
84.7        23.7        1.2         
89.8        26.5        1.4         
94.8        31.9        1.6         
99.8        38.6        1.9         
104.7       47.4        2.4         
109.6       56.7        2.8         
124.2       81.9        3.9         
133.7       92.8        4.4         
143.1       97.4        4.6         
