Projectile: p; target: 6Li; E = 9.5 MeV
https://doi.org/10.1016/0375-9474(89)90172-3
Angle       C/s
24.706      882.07      
35.932      291.26      
47.369      166.55      
58.597      80.079      
69.408      37.046      
74.606      21.807      
80.221      19.613      
90.619      15.413      
95.609      11.108      
100.81      14.269      
105.80      13.996      
110.59      16.486      
115.58      16.644      
120.15      14.684      
124.73      16.967      
129.30      14.542      
134.09      16.012      
138.46      13.333      
147.61      13.332      
156.13      14.538      
160.29      15.702      
164.87      16.319      
169.24      17.456      
