Projectile: 7Li; target: 116Sn; E = 26.0 MeV
http://dx.doi.org/10.1140/epja/i2011-11118-0
Angle       R/s
26.46       1.00356     0.03634     
31.73       0.99479     0.03590     
34.36       0.99365     0.03375     
36.98       0.98989     0.03650     
39.61       0.97845     0.09666     
42.22       0.95273     0.09611     
44.84       0.94459     0.09442     
47.45       0.93422     0.09179     
50.05       0.92671     0.10784     
52.65       0.91157     0.10107     
55.24       0.88419     0.10825     
60.42       0.76044     0.10981     
68.14       0.68459     0.10394     
73.25       0.60715     0.09340     
78.34       0.50208     0.09106     
83.41       0.45458     0.09041     
88.45       0.40086     0.09087     
93.46       0.34459     0.05023     
98.45       0.29243     0.05087     
103.41      0.22013     0.04809     
108.34      0.18595     0.01565     
113.25      0.13669     0.01420     
118.14      0.09636     0.00756     
123.00      0.07515     0.00771     
127.83      0.05221     0.00612     
132.65      0.04300     0.00545     
137.45      0.03898     0.00508     
