Projectile: 7Li; target: 120Sn; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.95.034615
Angle       R/s
26.41       1.          0.0105      
31.67       1.0027      2.72e-03    
36.92       1.1146      2.75e-03    
42.15       1.1257      3.15e-03    
44.76       1.0737      4.27e-03    
47.36       1.029       2.68e-03    
52.56       0.7958      2.47e-03    
55.15       0.69        3.14e-03    
57.74       0.5674      1.78e-03    
62.89       0.4373      1.75e-03    
65.46       0.3139      2.04e-03    
68.03       0.2929      1.31e-03    
73.14       0.1482      1.07e-03    
75.69       0.1428      1.54e-03    
78.23       0.0992      8.53e-04    
83.29       0.0764      9.12e-04    
85.81       0.0532      1.11e-03    
88.33       0.0494      7.16e-04    
93.34       0.0281      6.62e-04    
95.84       0.0243      8.80e-04    
103.29      0.0113      4.85e-04    
113.14      6.42e-03    4.14e-04    
122.89      4.45e-03    3.81e-04    
