Projectile: 7Li; target: 138Ba; E = 32.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
36.3        1.03        
40.5        1.32        
45.7        1.1         
50.9        0.91        
56.1        0.72        
61.3        0.51        
66.6        0.361       
71.         0.244       
76.2        0.179       
81.1        0.104       
86.4        0.062       
90.8        0.0421      
96.5        0.0264      
101.3       0.021       
106.2       0.0103      
111.        0.0082      
116.3       0.0051      
120.6       0.0043      
