Projectile: 7Li; target: 144Sm; E = 27.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.024613
Angle       R/s
15.72       1.015       0.007       
18.33       1.011       0.006       
21.20       1.016       0.012       
23.81       1.004       0.010       
26.63       0.969       0.010       
29.22       0.972       0.009       
31.78       1.001       0.015       
34.37       0.993       0.011       
36.85       1.016       0.010       
39.44       1.018       0.011       
42.10       0.998       0.014       
44.68       1.006       0.016       
47.09       0.985       0.023       
49.67       0.982       0.012       
52.15       1.015       0.022       
54.72       0.999       0.011       
57.28       1.016       0.021       
60.11       0.996       0.016       
62.66       1.059       0.018       
65.42       1.018       0.015       
67.96       1.047       0.017       
70.46       1.048       0.014       
72.99       1.018       0.029       
75.42       1.035       0.013       
77.94       1.004       0.012       
80.53       0.956       0.015       
83.04       0.893       0.037       
85.39       0.881       0.024       
87.90       0.832       0.020       
90.31       0.816       0.014       
92.81       0.751       0.012       
94.77       0.679       0.023       
98.04       0.615       0.028       
99.99       0.593       0.032       
103.20      0.528       0.026       
105.14      0.500       0.031       
108.09      0.446       0.022       
110.02      0.412       0.020       
112.89      0.392       0.014       
114.81      0.367       0.015       
117.84      0.350       0.010       
119.76      0.308       0.022       
122.56      0.267       0.008       
124.47      0.248       0.015       
127.33      0.218       0.007       
129.23      0.218       0.015       
129.70      0.215       0.020       
132.11      0.209       0.022       
134.78      0.197       0.024       
137.18      0.144       0.018       
139.79      0.154       0.025       
142.19      0.131       0.016       
144.54      0.131       0.017       
146.93      0.128       0.014       
149.22      0.147       0.011       
151.61      0.131       0.009       
154.06      0.110       0.011       
156.44      0.103       0.010       
158.67      0.115       0.012       
161.05      0.096       0.008       
163.35      0.105       0.013       
165.72      0.096       0.007       
170.48      0.086       0.009       
