Projectile: 7Li; target: 208Pb; E = 39.0 MeV
http://dx.doi.org/10.1016/0375-9474(94)90064-7
Angle       R/s
31.3        0.983       0.015       
33.6        0.995       0.016       
35.1        0.99        0.03        
37.         1.001       0.024       
38.1        0.979       0.016       
40.3        0.95        0.004       
42.6        0.937       0.012       
42.9        0.946       0.006       
44.1        0.971       0.004       
45.6        0.978       0.01        
47.5        1.012       0.015       
49.         1.037       0.013       
50.6        1.046       0.012       
52.1        1.065       0.013       
54.         1.065       0.013       
56.2        1.036       0.004       
58.4        0.982       0.004       
59.5        0.95        0.004       
61.4        0.906       0.004       
62.1        0.881       0.004       
63.1        0.795       0.004       
65.         0.751       0.004       
66.1        0.7         0.004       
67.9        0.646       0.004       
69.         0.596       0.004       
70.1        0.555       0.004       
71.9        0.507       0.004       
72.6        0.46        0.004       
74.1        0.418       0.004       
75.9        0.377       0.004       
77.         0.342       0.004       
78.1        0.307       0.004       
79.6        0.272       0.004       
81.1        0.241       0.004       
83.3        0.202       0.004       
84.4        0.177       0.004       
85.9        0.158       0.004       
88.1        0.123       0.004       
90.         0.104       0.004       
92.2        0.085       0.004       
95.2        0.062       0.004       
99.         0.046       0.004       
103.9       0.029       0.004       
107.6       0.016       0.004       
111.        0.019       0.004       
115.1       0.012       0.004       
