Projectile: 7Li; target: 27Al; E = 8.0 MeV
http://dx.doi.org/10.1103/PhysRevC.73.054603
Angle       R/s
23.09       1.014       0.009       
26.21       1.007       0.007       
28.81       0.997       0.008       
32.5        0.997       0.011       
35.58       0.995       0.009       
36.22       0.999       0.007       
38.64       0.997       0.007       
39.9        0.995       0.008       
41.21       1.003       0.008       
41.7        0.998       0.008       
43.55       0.993       0.011       
44.83       0.993       0.021       
47.85       1.011       0.018       
48.48       1.013       0.01        
50.85       0.983       0.012       
52.08       1.013       0.01        
53.36       1.003       0.013       
53.84       1.022       0.005       
55.65       1.02        0.012       
56.9        1.068       0.027       
59.84       1.065       0.023       
60.46       1.015       0.012       
62.77       1.03        0.017       
63.96       1.017       0.014       
67.43       0.995       0.016       
71.38       0.946       0.032       
74.22       0.98        0.024       
77.03       0.931       0.009       
83.23       0.891       0.02        
86.49       0.83        0.02        
87.97       0.859       0.007       
89.72       0.847       0.013       
90.57       0.787       0.02        
93.24       0.815       0.027       
95.86       0.782       0.018       
98.45       0.748       0.012       
100.89      0.761       0.02        
103.02      0.75        0.022       
104.15      0.695       0.018       
105.03      0.715       0.032       
107.02      0.695       0.025       
107.14      0.678       0.017       
108.99      0.679       0.036       
110.09      0.682       0.011       
110.92      0.719       0.015       
112.95      0.665       0.014       
113.84      0.7         0.018       
114.86      0.657       0.022       
116.69      0.672       0.017       
116.76      0.645       0.018       
118.64      0.636       0.023       
119.5       0.644       0.011       
120.48      0.64        0.017       
122.41      0.634       0.017       
124.24      0.613       0.025       
126.04      0.609       0.02        
127.83      0.595       0.027       
138.19      0.576       0.025       
139.96      0.563       0.023       
141.62      0.527       0.038       
143.27      0.491       0.028       
144.91      0.497       0.04        
154.36      0.485       0.012       
155.99      0.484       0.015       
157.54      0.503       0.019       
159.09      0.503       0.017       
160.62      0.498       0.02        
163.57      0.475       0.015       
165.09      0.484       0.019       
166.6       0.484       0.018       
168.1       0.495       0.024       
