Projectile: 7Li; target: 28Si; E = 11.5 MeV
http://dx.doi.org/10.1051/epjconf/20111703004
Angle       R/s
24.91       1.07        0.03        
37.18       1.08        0.03        
49.25       0.90        0.03        
55.18       0.90        0.03        
61.04       0.72        0.03        
66.82       0.65        0.03        
72.5        0.49        0.02        
78.1        0.38        0.01        
83.59       0.36        0.02        
88.97       0.32        0.02        
94.25       0.31        0.02        
99.42       0.19        0.01        
