Projectile: 7Li; target: 28Si; E = 13.0 MeV
http://dx.doi.org/10.1051/epjconf/20111703004
Angle       R/s
24.91       1.03        0.03        
31.06       0.98        0.03        
37.18       0.93        0.03        
43.24       0.80        0.02        
49.25       0.66        0.03        
55.18       0.53        0.02        
61.04       0.43        0.02        
66.82       0.35        0.02        
72.5        0.28        0.02        
78.1        0.23        0.01        
83.59       0.20        0.01        
88.97       0.16        0.01        
