Projectile: 7Li; target: 28Si; E = 13.0 MeV
http://dx.doi.org/10.1103/PhysRevC.69.054602
Angle       R/s
18.71       0.984       0.03515     
21.192      1.07052     0.023       
22.431      1.02744     0.05447     
23.669      1.10564     0.03205     
26.14       1.07194     0.05056     
29.836      1.01887     0.05254     
31.065      1.02775     0.04472     
33.517      1.022       0.04304     
37.181      0.98508     0.02466     
39.613      0.9299      0.0272      
43.244      0.81728     0.02779     
49.247      0.65884     0.02767     
55.182      0.52713     0.00702     
61.041      0.50302     0.0235      
66.817      0.40808     0.00985     
72.504      0.31349     0.0298      
78.096      0.24021     0.01085     
83.587      0.20768     0.01214     
88.974      0.17023     0.00911     
94.253      0.12711     0.00734     
99.421      0.12844     0.01835     
104.478     0.09744     0.00753     
109.421     0.10554     0.01212     
114.253     0.08571     0.00909     
118.974     0.07678     0.00549     
123.587     0.07037     0.01263     
128.09599   0.0621      0.01183     
