Projectile: 7Li; target: 46Ti; E = 17.0 MeV
http://dx.doi.org/10.1088/0305-4616/5/12/014
Angle       R/s
17.125      1.044e+00   
19.795      1.020e+00   
22.466      9.856e-01   
26.155      1.031e+00   
28.700      1.103e+00   
31.499      1.167e+00   
34.551      1.180e+00   
36.840      1.140e+00   
39.764      1.052e+00   
42.688      9.607e-01   
45.485      9.177e-01   
48.154      8.378e-01   
51.459      7.308e-01   
53.999      5.957e-01   
56.795      5.256e-01   
61.624      4.186e-01   
