Projectile: 7Li; target: 56Fe; E = 34.0 MeV
http://dx.doi.org/10.1016/0375-9474(80)90366-8
Angle       R/s
1.06e+01    8.40e-01                
1.18e+01    9.26e-01                
1.29e+01    1.03e+00                
1.40e+01    1.00e+00                
1.52e+01    1.01e+00                
1.62e+01    1.00e+00                
1.72e+01    9.61e-01                
1.85e+01    9.22e-01                
1.96e+01    8.37e-01                
2.08e+01    7.37e-01                
2.18e+01    6.62e-01                
2.31e+01    6.49e-01                
2.41e+01    5.58e-01                
2.52e+01    5.07e-01                
2.63e+01    4.46e-01                
2.75e+01    3.80e-01                
2.86e+01    3.34e-01                
2.98e+01    2.97e-01                
3.08e+01    2.67e-01                
3.20e+01    2.35e-01                
3.31e+01    2.18e-01                
3.42e+01    2.02e-01                
3.54e+01    1.69e-01                
3.63e+01    1.45e-01                
3.73e+01    1.28e-01                
3.87e+01    1.12e-01                
3.97e+01    9.80e-02                
4.08e+01    9.00e-02                
4.19e+01    8.09e-02                
4.32e+01    7.12e-02                
4.41e+01    6.60e-02                
4.53e+01    5.57e-02                
4.64e+01    4.69e-02                
4.73e+01    4.26e-02                
4.86e+01    3.51e-02                
4.96e+01    3.37e-02                
5.07e+01    2.87e-02                
5.18e+01    2.55e-02                
5.29e+01    2.37e-02                
5.40e+01    2.01e-02                
5.50e+01    1.91e-02                
5.62e+01    1.52e-02                
5.74e+01    1.28e-02                
5.82e+01    1.12e-02                
5.94e+01    1.04e-02                
6.05e+01    9.35e-03                
6.14e+01    8.97e-03                
6.25e+01    7.16e-03                
6.36e+01    6.50e-03                
6.47e+01    5.66e-03                
6.58e+01    4.87e-03                
6.68e+01    5.09e-03                
6.81e+01    3.85e-03                
6.92e+01    2.85e-03    2.07e-04    
7.02e+01    2.62e-03                
7.13e+01    2.77e-03                
7.23e+01    2.46e-03    2.03e-04    
7.34e+01    2.89e-03    2.38e-04    
7.44e+01    2.01e-03                
7.55e+01    1.92e-03                
7.65e+01    1.15e-03    2.12e-04    
