Projectile: 7Li; target: 58Ni; E = 42.0 MeV
http://dx.doi.org/10.1016/S0375-9474(98)00635-6
Angle       R/s
16.79       1.002       1.2200e-2   
22.37       0.49        9.3900e-3   
27.92       0.2514      3.1400e-3   
33.46       0.1176      1.4400e-3   
38.97       6.1800e-2   9.9000e-4   
43.36       3.1100e-2   6.7000e-4   
49.9        1.4700e-2   3.6000e-4   
55.3        8.1000e-3   1.8000e-4   
58.53       4.8000e-3   1.5000e-4   
60.67       2.9000e-3   9.0000e-5   
66.0        1.9000e-3   8.0000e-5   
