Projectile: 7Li; target: 80Se; E = 14.5 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
21.73       1.009       0.031       
24.43       0.996       0.036       
27.44       1.007       0.036       
30.14       1.008       0.031       
33.00       0.983       0.029       
35.69       0.996       0.029       
38.36       1.004       0.031       
41.03       1.011       0.039       
49.00       0.928       0.031       
51.65       0.934       0.029       
53.90       0.972       0.023       
56.53       0.973       0.021       
59.31       1.007       0.018       
61.92       1.003       0.013       
64.82       1.000       0.016       
67.41       1.013       0.018       
70.00       1.027       0.018       
72.58       1.047       0.016       
80.27       0.987       0.055       
82.60       1.014       0.016       
85.03       0.974       0.031       
87.66       0.990       0.034       
90.08       0.984       0.023       
92.77       0.993       0.018       
97.94       1.007       0.055       
107.80      0.947       0.062       
112.32      0.908       0.021       
114.71      0.937       0.023       
117.30      0.904       0.016       
119.82      0.865       0.023       
122.36      0.827       0.117       
124.77      0.776       0.091       
127.13      0.814       0.049       
129.52      0.786       0.078       
136.38      0.751       0.008       
138.73      0.715       0.005       
141.06      0.717       0.018       
143.39      0.718       0.016       
145.79      0.661       0.018       
148.11      0.663       0.016       
150.60      0.681       0.034       
152.90      0.633       0.117       
155.07      0.630       0.013       
162.08      0.648       0.036       
164.09      0.635       0.016       
166.37      0.620       0.026       
168.65      0.611       0.122       
170.93      0.585       0.127       
