Projectile: 7Li; target: 89Y; E = 60.0 MeV
http://dx.doi.org/10.1088/0305-4616/9/10/011
Angle       R/s
10.02       1.19        11.         
11.13       1.21        8.          
12.5        1.25        6.          
14.33       1.08        7.          
16.64       0.76        11.         
17.85       0.62        11.         
19.65       0.41        12.         
20.4        0.45        11.         
21.86       0.36        11.         
22.96       0.31        10.         
24.77       0.217       9.          
25.36       0.174       12.         
26.84       0.164       10.         
28.14       0.102       10.         
29.96       8.e-02      10.         
30.71       8.2e-02     9.          
32.27       5.6e-02     11.         
33.24       5.e-02      10.         
35.07       4.2e-02     10.         
35.94       4.3e-02     14.         
37.49       2.6e-02     15.         
40.5        1.3e-02     30.         
50.63       4.7e-03     30.         
