Projectile: 7Li; target: 90Zr; E = 34.0 MeV
http://dx.doi.org/10.1016/0375-9474(80)90366-8
Angle       R/s
9.31e+00    9.88e-01    
1.05e+01    9.99e-01    
1.14e+01    9.87e-01    
1.23e+01    9.75e-01    
1.33e+01    9.98e-01    
1.46e+01    1.00e+00    
1.56e+01    9.96e-01    
1.68e+01    9.49e-01    
1.78e+01    9.60e-01    
1.89e+01    9.71e-01    
2.00e+01    9.94e-01    
2.10e+01    1.04e+00    
2.20e+01    1.06e+00    
2.31e+01    1.10e+00    
2.42e+01    1.17e+00    
2.53e+01    1.09e+00    
2.64e+01    1.14e+00    
2.75e+01    1.10e+00    
2.85e+01    1.02e+00    
2.96e+01    1.00e+00    
3.07e+01    9.41e-01    
3.17e+01    8.86e-01    
3.37e+01    7.66e-01    
3.59e+01    6.31e-01    
3.70e+01    5.66e-01    
3.81e+01    5.53e-01    
4.02e+01    4.29e-01    
4.24e+01    3.89e-01    
4.45e+01    2.95e-01    
4.63e+01    2.37e-01    
4.79e+01    2.15e-01    
4.92e+01    1.93e-01    
5.11e+01    1.55e-01    
5.32e+01    1.20e-01    
5.54e+01    1.09e-01    
5.65e+01    8.62e-02    
5.74e+01    7.74e-02    
5.96e+01    6.38e-02    
6.15e+01    4.95e-02    
6.38e+01    4.03e-02    
6.59e+01    2.88e-02    
6.80e+01    2.29e-02    
7.01e+01    2.07e-02    
7.21e+01    1.69e-02    
