Projectile: 10B; target: 16O; E = 100 MeV
https://doi.org/10.1103/PhysRevC.12.1575
Angle       C/s
15.5        129.        
16.3        162.        
17.2        195.        
18.0        191.        
18.9        141.        
19.1        105.        
19.6        81.         
20.3        32.         
21.1        14.5        
22.3        15.8        
23.1        25.         
23.9        30.         
24.7        31.         
26.1        20.         
27.0        11.5        
27.8        6.0         
29.3        5.5         
31.0        6.9         
32.6        6.6         
34.3        3.4         
35.9        2.4         
