Projectile: 10B; target: 7Li; E = 51 MeV
https://doi.org/10.1140/epja/i2007-10483-5
Angle       C/s
14.60       1513.00000  302.60000   
17.00       465.00000   93.00000    
19.50       181.10000   36.22000    
21.90       152.70000   30.54000    
24.40       135.70000   27.14000    
26.80       91.80000    18.36000    
29.30       48.79000    9.75800     
31.80       23.16000    4.63200     
34.20       8.10300     1.62060     
36.70       9.32700     1.86540     
39.20       12.74000    2.54800     
41.70       11.01000    2.20200     
44.20       5.69700     1.13940     
46.70       3.39300     0.67860     
49.30       1.93900     0.38780     
51.80       1.79500     0.35900     
54.40       1.98500     0.39700     
56.90       1.82800     0.36560     
59.50       1.51800     0.30360     
62.20       1.11600     0.22320     
64.80       0.53070     0.10614     
67.40       0.51150     0.10230     
70.10       0.47350     0.09470     
72.80       0.47170     0.09434     
75.60       0.41870     0.08374     
78.40       0.40840     0.08168     
81.20       0.32240     0.06448     
84.10       0.23860     0.04772     
87.00       0.17090     0.03418     
88.50       0.16470     0.03294     
90.00       0.17130     0.03426     
91.50       0.15920     0.03184     
94.60       0.15340     0.03068     
97.90       0.15140     0.03028     
101.20      0.12630     0.02526     
103.90      0.12460     0.02492     
104.70      0.13460     0.02692     
105.90      0.13420     0.02684     
107.90      0.12210     0.02442     
109.90      0.13120     0.02624     
111.90      0.12710     0.02542     
113.90      0.11940     0.02388     
115.90      0.12610     0.02522     
117.90      0.12970     0.02594     
119.90      0.14430     0.02886     
121.90      0.12830     0.02566     
123.90      0.11350     0.02270     
125.90      0.11330     0.02266     
127.90      0.10880     0.02176     
129.90      0.10650     0.02130     
131.90      0.09575     0.01915     
133.90      0.09703     0.01941     
135.90      0.10690     0.02138     
137.90      0.09876     0.01975     
139.90      0.10760     0.02152     
141.90      0.10130     0.02026     
143.90      0.10700     0.02140     
145.90      0.09502     0.01900     
147.90      0.10830     0.02166     
149.90      0.10320     0.02064     
152.00      0.14710     0.02942     
154.00      0.17070     0.03414     
156.00      0.19460     0.03892     
158.00      0.20620     0.04124     
160.00      0.23560     0.04712     
162.00      0.26550     0.05310     
164.00      0.23640     0.04728     
166.00      0.23330     0.04666     
168.00      0.26130     0.05226     
