Projectile: 11B; target: 16O; E = 41.25 MeV
http://dx.doi.org/10.1007/s100500070040
Angle       R/s
30.294      1.949e-01   7.125e-03                           
31.963      1.208e-01   6.148e-03                           
33.631      8.747e-02   5.743e-03                           
35.295      9.899e-02   6.720e-03                           
36.958      1.209e-01   8.169e-03                           
38.617      1.132e-01   8.681e-03                           
40.274      8.800e-02   8.353e-03                           
41.928      5.537e-02   7.209e-03                           
43.579      2.341e-02   5.109e-03                           
46.871      5.736e-02   4.176e-04                           
48.511      6.353e-02   4.633e-04                           
50.148      5.265e-02   4.468e-04                           
51.781      3.158e-02   3.688e-04                           
53.410      1.550e-02   2.760e-04                           
55.035      1.215e-02   2.609e-04                           
56.656      1.701e-02   3.285e-04                           
58.272      2.397e-02   4.139e-04                           
59.883      2.272e-02   4.979e-04                           
61.489      1.782e-02   4.641e-04                           
63.091      9.708e-03   3.608e-04                           
64.687      6.562e-03   2.092e-04                           
66.277      9.029e-03   2.578e-04                           
67.862      1.726e-02   3.731e-04                           
69.441      2.283e-02   4.496e-04                           
69.964      2.334e-02   6.351e-04      
71.014      2.467e-02   4.902e-04                           
71.964      2.617e-02   6.977e-04      
72.580      1.886e-02   5.929e-04                           
73.963      1.705e-02   5.831e-04      
74.140      1.084e-02   3.421e-04                           
75.694      5.074e-03   2.440e-04                           
75.963      6.305e-03   3.664e-04      
77.240      4.147e-03   2.304e-04                           
77.963      4.387e-03   3.157e-04      
78.779      7.066e-03   3.140e-04                           
79.962      8.627e-03   4.573e-04      
80.311      1.207e-02   4.257e-04                           
81.835      1.421e-02   6.975e-04                           
81.962      1.250e-02   3.913e-04      
83.351      1.569e-02   7.622e-04                           
83.962      1.349e-02   4.188e-04      
84.859      1.100e-02   6.623e-04                           
85.962      8.769e-03   3.474e-04      
86.358      7.771e-03   5.776e-04                           
87.849      4.671e-03   4.648e-04                           
87.962      5.052e-03   2.709e-04      
89.331      5.968e-03   5.448e-04                           
89.962      5.270e-03   2.850e-04      
91.962      6.369e-03   4.395e-04      
93.962      8.122e-03   3.849e-04      
95.962      9.327e-03   4.227e-04      
97.962      4.768e-04   1.142e-02      
99.962      1.478e-02   5.576e-04      
101.960     1.421e-02   5.592e-04      
103.960     1.275e-02   8.031e-04      
105.960     1.297e-02   8.267e-04      
107.960     2.266e-02   7.385e-04      
109.960     3.296e-02   9.032e-04      
111.960     3.038e-02   8.770e-04      
113.960     2.032e-02   9.475e-04      
115.970     1.118e-02   7.113e-04      
117.560     1.285e-02   9.945e-04      
