Projectile: 12C; target: 11B; E = 87 MeV
http://dx.doi.org/10.1016/0375-9474(71)90152-7
Angle       C/s
16.9        4.361e+02   
18.8        1.119e+02   
20.8        4.694e+01   
22.8        7.218e+01   
24.8        4.669e+01   
26.1        1.403e+01   
28.9        4.209e+00   
31.3        9.401e+00   
33.6        9.189e+00   
35.3        2.760e+00   
37.4        1.303e+00   
39.4        2.004e+00   
41.5        2.293e+00   
43.7        1.454e+00   
46.0        5.748e-01   
48.0        4.617e-01   
50.5        6.304e-01   
52.3        6.046e-01   
