Projectile: 12C; target: 13C; E = 87 MeV
http://dx.doi.org/10.1016/0375-9474(71)90152-7
Angle       C/s
6.3         2.800e+04   
8.5         1.377e+04   
10.5        4.332e+03   
12.4        2.630e+03   
14.2        1.728e+03   
16.3        4.891e+02   
18.1        1.384e+02   
20.3        2.747e+02   
22.1        1.903e+02   
23.7        4.975e+01   
26.0        1.336e+01   
27.7        2.582e+01   
29.7        2.094e+01   
31.7        6.943e+00   
33.8        2.491e+00   
35.3        4.109e+00   
37.1        5.077e+00   
