Projectile: 14N; target: 12C; E = 88 MeV
http://dx.doi.org/10.1143/JPSJ.30.910
Angle       C/s
15.2        1205.       
17.4        428.        
19.6        489.        
21.7        369.        
23.9        79.4        
26.1        23.7        
28.3        75.9        
30.4        56.9        
32.6        10.2        
34.8        11.8        
37.0        22.7        
39.2        16.0        
41.4        8.11        
43.6        4.30        
45.8        4.91        
48.0        4.49        
50.2        2.28        
