Projectile: 14N; target: 7Li; E = 80 MeV
http://dx.doi.org/10.1140/epja/i2014-14159-9
Angle       C/s
21.1        215.1       64.53       
24.2        82.45       24.735      
27.2        30.94       9.282       
30.3        29.88       8.964       
33.4        13.94       4.182       
36.6        8.903       2.6709      
39.7        3.997       1.1991      
42.9        2.662       0.7986      
46.1        2.338       0.7014      
49.4        1.852       0.5556      
52.8        1.114       0.3342      
56.1        0.6237      0.18711     
59.6        0.4018      0.12054     
63.1        0.3512      0.10536     
66.7        0.4094      0.12282     
70.4        0.2738      0.08214     
74.3        0.2638      0.07914     
82.6        0.108       0.0324      
87.1        0.06322     0.018966    
92.         0.08827     0.026481    
97.6        0.04826     0.014478    
104.4       0.03201     0.009603    
121.9       0.04223     0.012669    
123.9       0.04881     0.014643    
125.9       0.04419     0.013257    
127.9       0.03623     0.010869    
129.9       0.03739     0.011217    
133.9       0.05336     0.016008    
135.9       0.07198     0.021594    
137.9       0.06879     0.020637    
139.9       0.06368     0.019104    
141.9       0.03972     0.011916    
143.9       0.0641      0.01923     
145.9       0.08885     0.026655    
147.9       0.1116      0.03348     
149.9       0.1165      0.03495     
151.9       0.1302      0.03906     
153.9       0.1216      0.03648     
155.9       0.0838      0.02514     
157.9       0.1345      0.04035     
159.9       0.2118      0.06354     
162.        0.2389      0.07167     
164.        0.3301      0.09903     
166.        0.2829      0.08487     
