Projectile: 15N; target: 11B; E = 84 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2015.02.006
Angle       C/s
23.7        85.67       25.70       
26.1        29.31       8.79        
28.5        19.44       5.83        
30.9        13.52       4.05        
33.3        9.637       2.891       
35.7        6.621       1.986       
38.1        3.132       0.939       
40.5        1.933       0.579       
43.0        1.899       0.569       
45.4        1.198       0.359       
47.8        0.5677      0.1703      
50.3        0.4966      0.1489      
52.7        0.6796      0.2038      
55.2        0.5297      0.1589      
57.7        0.2452      0.0735      
60.2        0.3222      0.0966      
62.7        0.4415      0.1324      
65.3        0.2776      0.0832      
67.8        0.1756      0.0526      
70.4        0.2134      0.0640      
73.0        0.2217      0.0665      
119.9       0.1194      0.0358      
121.9       0.1037      0.0311      
123.9       0.1036      0.0310      
125.9       0.09581     0.0287      
127.9       0.1069      0.0320      
129.9       0.1148      0.0344      
131.9       0.1098      0.0329      
133.9       0.1066      0.0319      
135.9       0.1138      0.0341      
137.9       0.1060      0.0310      
139.9       0.09637     0.0289      
141.9       0.1072      0.0321      
143.9       0.1068      0.0320      
145.9       0.1134      0.0340      
147.9       0.1218      0.0365      
149.9       0.1206      0.0361      
151.9       0.1204      0.0361      
154.0       0.1162      0.0348      
156.0       0.1259      0.0377      
158.0       0.1289      0.0386      
160.0       0.1455      0.0436      
