Projectile: 15N; target: 12C; E = 81 MeV
http://dx.doi.org/10.5506/APhysPolB.50.753
Angle       C/s
15.8        2684.0      805.2       
18.0        903.8       271.1       
20.3        312.1       93.63       
22.6        128.2       38.46       
24.8        79.89       23.96       
27.1        35.84       10.75       
29.4        21.93       6.579       
31.6        20.49       6.147       
33.9        9.540       2.862       
36.2        3.015       0.9045      
38.5        3.301       0.9903      
40.8        1.382       0.4146      
43.1        0.2452      0.0735      
50.0        1.799       0.5397      
52.3        0.7078      0.2123      
54.6        0.2639      0.0791      
56.9        0.4310      0.1293      
59.3        0.3139      0.0941      
61.6        0.1320      0.0396      
64.0        0.0463      0.0138      
66.4        0.0072      0.0021      
68.7        0.0239      0.0071      
97.9        0.1377      0.0413      
99.9        0.1036      0.0310      
101.9       0.0788      0.0236      
103.9       0.0710      0.0213      
105.9       0.0717      0.0215      
107.9       0.0623      0.0187      
109.9       0.0598      0.0179      
111.9       0.0545      0.0163      
113.9       0.0462      0.0138      
115.9       0.0475      0.0142      
117.9       0.0455      0.0136      
119.9       0.0325      0.0097      
121.9       0.0297      0.0089      
123.9       0.0359      0.0107      
125.9       0.0460      0.0138      
127.9       0.0722      0.0216      
129.9       0.0560      0.0168      
131.9       0.0354      0.0106      
133.9       0.0424      0.0127      
135.9       0.0570      0.0171      
141.9       0.0594      0.0178      
143.9       0.0491      0.0147      
145.9       0.0447      0.0134      
147.9       0.0590      0.0177      
150.0       0.0598      0.0179      
152.0       0.0516      0.0154      
154.0       0.0497      0.0149      
156.0       0.0701      0.0210      
158.0       0.1199      0.0359      
160.0       0.0857      0.0257      
162.0       0.0398      0.0119      
164.0       0.0527      0.0158      
