Projectile: 15N; target: 9Be; E = 84 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2016.01.002
Angle       C/s
13.4        1350.       540.        
16.         895.        358.        
18.7        355.8       142.32      
21.4        60.17       24.068      
24.1        91.56       27.468      
26.8        59.44       17.832      
29.6        13.41       4.023       
32.3        13.31       5.324       
35.         10.72       3.216       
37.8        6.089       1.8267      
40.6        2.196       0.8784      
43.4        3.634       1.0902      
46.2        3.803       1.1409      
49.         1.643       0.4929      
51.9        1.542       0.6168      
54.8        1.347       0.4041      
57.7        1.529       0.4587      
60.6        0.9559      0.28677     
63.6        0.4571      0.18284     
66.7        0.3563      0.14252     
69.8        0.285       0.114       
72.9        0.1679      0.06716     
76.1        0.2443      0.09772     
79.4        0.3079      0.12316     
82.9        0.2309      0.09236     
86.4        0.1911      0.07644     
90.1        0.2319      0.09276     
107.9       0.1273      0.05092     
109.9       0.09151     0.03660     
111.9       0.08385     0.03354     
113.9       0.07434     0.02974     
117.9       0.1278      0.05112     
119.9       0.1102      0.04408     
121.9       0.0996      0.03984     
123.9       0.1036      0.04144     
125.9       0.1153      0.04612     
127.9       0.1395      0.0558      
129.9       0.1592      0.06368     
131.9       0.1788      0.07152     
133.9       0.09992     0.03997     
135.9       0.1215      0.0486      
137.9       0.1615      0.0646      
139.9       0.1787      0.07148     
141.9       0.1821      0.07284     
143.9       0.1502      0.06008     
145.9       0.1938      0.07752     
147.9       0.2285      0.0914      
149.9       0.2535      0.1014      
151.9       0.3062      0.12248     
153.9       0.2403      0.09612     
155.9       0.2457      0.09828     
158.        0.2159      0.08636     
160.        0.3061      0.12244     
162.        0.5981      0.23924     
164.        0.5385      0.2154      
166.        0.3275      0.131       
168.        0.5589      0.22356     
