Projectile: 16O; target: 11B; E = 22.4 MeV
http://dx.doi.org/10.1142/S0218301315500470
Angle       C/s
32.087      3043.18527  
34.589      2716.9933   
37.1        2029.83505  
39.62       1959.58823  
42.15       1405.86378  
44.691      1217.92856  
47.245      903.40427   
49.811      804.25037   
52.393      540.93133   
54.99       411.40152   
57.606      344.72903   
60.241      289.32095   
62.898      249.54779   
65.579      187.02507   
68.287      167.22916   
71.025      125.5656    
73.798      97.3169     
76.608      88.17765    
79.462      57.37909    
82.365      55.03265    
85.326      48.3401     
88.354      43.30398    
91.462      37.10724    
94.666      33.33917    
97.989      32.83277    
101.46      29.1504     
105.128     22.04179    
