Projectile: 16O; target: 11B; E = 64 MeV
http://dx.doi.org/10.1103/PhysRevC.49.2018
Angle       R/s
30.342      0.11726      
32.914      0.72550e-01  
35.290      0.50128e-01  
37.732      0.50590e-01  
40.441      0.61715e-01  
48.000      0.34011e-01  
50.602      0.14181e-01  
53.170      0.92727e-02  
55.684      0.12434e-01  
58.666      0.16943e-01  
66.630      0.63438e-02  
69.442      0.68751e-02  
72.097      0.49422e-02  
119.36      0.13486e-01  
121.43      0.13716e-01  
123.41      0.11818e-01  
125.37      0.14298e-01  
127.43      0.15860e-01  
133.62      0.17632e-01  
135.68      0.19405e-01  
137.68      0.48149e-01  
139.65      0.44191e-01  
141.63      0.40559e-01  
147.75      0.33142e-01  
149.79      0.48079e-01  
151.76      0.48511e-01  
153.73      0.52550e-01  
155.61      0.54289e-01  
161.88      0.71238e-01  
163.92      0.10499      
165.79      0.11737      
167.84      0.13869      
169.81      0.13883      
