Projectile: 16O; target: 9Be; E = 132 MeV
http://dx.doi.org/10.1134/S1063778810010035
Angle       C/s
11.4        3000.       210.        
12.5        1360.       95.         
13.9        1020.       71.         
15.3        233.        15.         
16.7        235.        8.2         
18.1        116.        8.1         
19.5        86.         6.          
20.9        37.4        1.9         
22.3        14.3        0.86        
23.7        13.         0.91        
25.1        16.6        1.          
26.6        14.3        1.4         
28.0        6.2         0.4         
29.4        3.2         0.2         
30.8        2.03        0.12        
32.3        2.1         0.13        
33.7        1.7         0.12        
35.1        2.1         0.15        
36.6        1.15        0.09        
38.0        0.87        0.08        
39.5        0.6         0.06        
40.9        0.37        0.06        
42.4        0.41        0.06        
44.0        0.51        0.06        
45.3        0.19        0.03        
46.8        0.16        0.03        
48.3        0.16        0.02        
49.8        0.16        0.03        
53.0        0.12        0.02        
55.0        0.09        0.01        
57.0        0.08        0.01        
59.0        0.09        0.01        
61.0        0.046       0.005       
63.0        0.038       0.005       
65.0        0.028       0.004       
67.0        0.028       0.003       
69.0        0.021       0.003       
71.0        0.016       0.003       
73.0        0.012       0.002       
75.0        0.004       0.001       
77.0        0.00530     0.00015     
79.0        0.0090      0.0002      
81.0        0.0060      0.00015     
83.0        0.0060      0.00015     
85.0        0.0050      0.00012     
87.0        0.0053      0.001       
89.0        0.0038      0.001       
91.0        0.0050      0.001       
93.0        0.0045      0.001       
95.0        0.0052      0.001       
97.0        0.0041      0.0007      
99.0        0.0058      0.001       
101.0       0.0033      0.0006      
103.0       0.0038      0.0007      
105.0       0.003       0.0006      
