Projectile: 4He; target: 12C; E = 22.9 MeV
http://dx.doi.org/10.1103/PhysRevC.1.155
Angle       C/s
19.355      4.231e+02   
22.162      8.656e+01   
25.927      5.817e+01   
30.241      1.486e+02   
33.233      2.118e+02   
39.953      1.393e+02   
45.256      1.876e+01   
51.546      1.135e+01   
57.596      4.687e+01   
60.558      4.883e+01   
64.339      3.878e+01   
67.680      2.553e+01   
70.151      1.308e+01   
75.924      2.908e+00   
81.831      2.671e+00   
86.824      1.182e+00   
90.940      3.748e-01   
93.051      3.669e-01   
94.931      2.719e+00   
97.941      4.676e+00   
100.940     7.242e+00   
103.071     8.734e+00   
108.542     6.934e+00   
113.592     5.621e+00   
118.260     6.918e+00   
123.389     1.292e+01   
126.786     1.526e+01   
132.272     1.432e+01   
136.032     9.037e+00   
139.773     4.728e+00   
143.433     1.051e+00   
147.646     9.267e-01   
151.110     2.225e+00   
154.974     4.245e+00   
158.788     4.807e+00   
165.110     4.062e+00   
