Projectile: 4He; target: 9Be; E = 14.86 MeV
http://dx.doi.org/10.1016/0029-5582(65)90272-5
Angle       C/s
24.725      2.009e+02   
25.714      1.778e+02   
26.703      6.695e+01   
30.659      2.565e+01   
33.626      2.231e+01   
36.593      3.511e+01   
36.593      3.511e+01   
38.571      4.806e+01   
40.549      5.526e+01   
43.516      5.244e+01   
46.484      4.642e+01   
47.473      3.636e+01   
50.440      2.848e+01   
52.418      1.907e+01   
55.385      8.111e+00   
66.264      9.657e+00   
68.242      1.494e+01   
71.209      1.974e+01   
78.132      2.045e+01   
81.099      1.778e+01   
81.099      1.778e+01   
85.055      1.468e+01   
87.033      1.212e+01   
90.000      1.072e+01   
93.956      9.657e+00   
96.923      1.000e+01   
98.901      1.130e+01   
100.879     1.233e+01   
103.846     1.393e+01   
106.813     1.547e+01   
109.780     1.717e+01   
112.747     1.874e+01   
117.692     1.907e+01   
124.615     1.748e+01   
129.560     1.574e+01   
133.516     1.299e+01   
137.473     1.212e+01   
142.418     1.072e+01   
143.407     9.006e+00   
148.352     9.490e+00   
152.308     1.036e+01   
154.286     1.345e+01   
158.242     1.602e+01   
158.242     1.602e+01   
161.209     2.231e+01   
164.176     2.949e+01   
167.143     3.511e+01   
169.121     4.180e+01   
