Projectile: 6Li; target: 112Sn; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
31.096      1.147e+00   5.853e-01   
36.823      1.147e+00   4.702e-01   
41.834      1.147e+00   7.085e-01   
47.204      1.147e+00   5.853e-01   
52.215      1.071e+00   4.390e-01   
57.584      1.071e+00   5.464e-01   
62.595      1.228e+00   7.589e-01   
67.606      1.147e+00   5.853e-01   
72.975      1.071e+00   6.614e-01   
77.987      9.995e-01   6.175e-01   
82.998      8.711e-01   2.756e-01   
88.367      7.593e-01   2.402e-01   
93.020      7.593e-01   3.113e-01   
98.389      7.088e-01   3.618e-01   
103.043     6.178e-01   3.153e-01   
107.696     5.385e-01   3.327e-01   
112.707     4.381e-01   1.386e-01   
117.718     3.819e-01   8.744e-02   
122.729     3.565e-01   1.820e-01   
127.383     3.328e-01   1.053e-01   
132.394     2.901e-01   1.190e-01   
137.047     2.360e-01   9.679e-02   
142.058     2.204e-01   9.036e-02   
146.711     1.921e-01   4.398e-02   
151.723     2.057e-01   1.271e-01   
161.029     1.563e-01   9.655e-02   
170.694     1.361e-01   9.234e-02   
