Projectile: 6Li; target: 120Sn; E = 30.0 MeV
http://dx.doi.org/10.1051/jphyscol:1971626
Angle       C/s
9.24        5.3162e+05              
14.40       9.8052e+04              
19.85       3.3273e+04              
25.45       1.2884e+04              
30.41       6.1164e+03              
34.74       3.6697e+03              
40.44       2.2223e+03              
46.08       1.2922e+03              
50.42       7.7529e+02              
54.66       4.2885e+02              
61.77       1.8935e+02              
66.91       1.0468e+02              
70.30       6.0953e+01              
76.75       3.2659e+01              
81.96       1.9190e+01  1.6812e+00  
88.40       1.0178e+01  8.8396e-01  
93.09       5.6283e+00  4.9025e-01  
97.85       3.3080e+00  2.5815e-01  
103.24      2.2636e+00  2.1748e-01  
107.56      1.3443e+00  1.4277e-01  
112.89      8.7435e-01  7.6380e-02  
118.00      6.8293e-01  5.3470e-02  
123.22      4.0537e-01  5.0042e-02  
127.97      3.4352e-01  4.5532e-02  
133.34      1.5814e-01  3.4243e-02  
138.79      1.6415e-01  2.7350e-02  
143.21      7.3337e-02  1.8183e-02  
152.90      6.1333e-02  1.0778e-02  
163.29      4.3575e-02  9.7527e-03  
