Projectile: 6Li; target: 120Sn; E = 44.0 MeV
http://dx.doi.org/10.1016/0375-9474(91)90522-8
Angle       R/s
15.502      0.86107     
16.950      0.95091     
18.134      1.0064      
19.713      1.0957      
21.028      1.1272      
22.212      1.1433      
23.396      1.1596      
24.712      1.1112      
26.159      1.0499      
27.080      1.0351      
27.737      0.99195     
28.790      0.92401     
29.316      0.88550     
30.236      0.84859     
30.631      0.77936     
31.552      0.76836     
31.946      0.70567     
32.999      0.66673     
34.314      0.57040     
35.761      0.48798     
36.550      0.49494     
37.207      0.41747     
37.996      0.39444     
39.180      0.33745     
40.758      0.28869     
41.942      0.25050     
43.389      0.21129     
44.835      0.17822     
46.151      0.14406     
46.808      0.13044     
47.466      0.12151     
48.255      0.11159     
49.570      0.95468e-01 
50.885      0.81674e-01 
52.200      0.68889e-01 
53.647      0.58935e-01 
55.094      0.50420e-01 
56.409      0.41338e-01 
57.198      0.37430e-01 
57.724      0.34867e-01 
58.382      0.33414e-01 
59.697      0.27786e-01 
61.144      0.23437e-01 
62.459      0.20337e-01 
63.905      0.16912e-01 
65.221      0.14064e-01 
66.536      0.11530e-01 
67.982      0.94534e-02 
