Projectile: 6Li; target: 124Sn; E = 73.7 MeV
http://dx.doi.org/10.1103/PhysRevC.22.1522
Angle       R/s
5.13e+00    1.01e+00                
6.05e+00    9.90e-01                
7.14e+00    1.01e+00                
8.22e+00    9.93e-01                
9.30e+00    1.12e+00                
1.02e+01    1.13e+00                
1.13e+01    1.16e+00                
1.24e+01    1.13e+00                
1.33e+01    1.00e+00                
1.45e+01    8.82e-01                
1.56e+01    7.40e-01                
1.64e+01    6.04e-01                
1.74e+01    5.07e-01                
1.85e+01    4.47e-01                
1.99e+01    3.39e-01                
2.10e+01    2.91e-01                
2.19e+01    2.20e-01                
2.30e+01    1.94e-01                
2.38e+01    1.55e-01                
2.50e+01    1.23e-01                
2.61e+01    9.60e-02                
2.70e+01    8.05e-02                
2.81e+01    6.41e-02                
2.92e+01    5.80e-02                
3.04e+01    4.51e-02                
3.13e+01    3.50e-02                
3.22e+01    3.01e-02                
3.33e+01    2.28e-02                
3.55e+01    1.52e-02                
3.66e+01    1.09e-02                
3.76e+01    9.45e-03                
3.87e+01    8.55e-03                
3.96e+01    6.47e-03                
4.09e+01    5.29e-03                
4.16e+01    3.90e-03                
4.29e+01    2.81e-03                
4.40e+01    2.61e-03                
4.60e+01    1.65e-03                
4.81e+01    8.59e-04                
5.01e+01    6.52e-04                
5.20e+01    3.93e-04                
5.40e+01    1.84e-04                
5.63e+01    1.23e-04                
5.81e+01    1.00e-04    3.94e-05    
