Projectile: 6Li; target: 138Ba; E = 28.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
25.9        1.04        
31.1        1.04        
40.8        1.04        
45.9        1.08        
51.         1.08        
54.9        0.94        
60.         0.94        
65.9        0.83        
70.6        0.72        
75.7        0.538       
81.3        0.413       
86.         0.307       
91.1        0.252       
96.6        0.181       
100.9       0.126       
105.6       0.097       
110.2       0.079       
115.8       0.0453      
122.2       0.0453      
126.        0.0337      
131.5       0.0227      
