Projectile: 6Li; target: 15N; E = 34.5 MeV
http://dx.doi.org/10.1103/PhysRevC.89.012801
Angle       C/s
11.3        6.31e+03    6.70e+02    
12.6        3.52e+03    3.46e+02    
14.1        1.47e+03    1.33e+02    
15.4        7.34e+02    6.58e+01    
16.8        5.71e+02    5.17e+01    
18.2        5.17e+02    4.54e+01    
19.6        4.24e+02    3.75e+01    
21.0        3.07e+02    2.61e+01    
22.3        1.93e+02    1.63e+01    
23.8        1.37e+02    1.19e+01    
25.2        6.93e+01    6.17e+00    
26.6        2.87e+01    2.68e+00    
27.9        9.67e+00    1.08e+00    
29.3        7.51e+00    8.82e-01    
30.7        8.72e+00    9.88e-01    
32.0        1.53e+01    1.70e+00    
33.4        1.78e+01    1.95e+00    
34.8        1.69e+01    1.78e+00    
36.1        1.41e+01    1.58e+00    
37.5        7.68e+00    9.53e-01    
38.9        5.34e+00    6.52e-01    
40.2        1.48e+00    2.69e-01    
