Projectile: 6Li; target: 24Mg; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.80.014312
Angle       R/s
4.44        3.81e-01    3.69e-02    
4.97        8.84e-02    8.58e-03    
5.51        9.52e-02    9.25e-03    
6.04        2.49e-01    2.42e-02    
6.57        4.19e-01    4.06e-02    
6.95        6.56e-01    6.36e-02    
7.11        4.63e-01    4.49e-02    
7.48        6.98e-01    6.88e-02    
7.64        3.68e-01    3.57e-02    
8.01        4.12e-01    4.62e-02    
8.18        2.40e-01    2.34e-02    
8.55        1.87e-01    3.46e-02    
9.08        6.76e-02    1.81e-02    
9.46        7.18e-02    1.67e-02    
9.62        3.19e-02    8.60e-03    
9.99        5.32e-02    1.20e-02    
10.15       8.69e-02    1.16e-02    
10.52       1.42e-01    1.62e-02    
10.69       1.77e-01    1.86e-02    
11.06       2.58e-01    2.84e-02    
11.59       3.30e-01    4.22e-02    
12.00       3.20e-01    3.94e-02    
12.13       3.25e-01    3.47e-02    
12.60       2.81e-01    3.37e-02    
12.66       2.52e-01    3.06e-02    
13.10       1.86e-01    2.51e-02    
13.20       1.63e-01    2.07e-02    
13.60       1.03e-01    1.32e-02    
14.20       7.05e-02    9.58e-03    
14.54       7.27e-02    8.26e-03    
14.70       7.88e-02    9.03e-03    
15.07       1.04e-01    1.19e-02    
15.20       1.08e-01    1.15e-02    
15.60       1.49e-01    1.57e-02    
15.80       1.50e-01    1.57e-02    
16.13       1.77e-01    1.96e-02    
16.66       1.82e-01    1.99e-02    
17.03       1.79e-01    1.78e-02    
17.19       1.66e-01    1.74e-02    
17.56       1.57e-01    1.57e-02    
17.72       1.41e-01    1.54e-02    
18.09       1.30e-01    1.34e-02    
18.25       1.13e-01    1.29e-02    
18.63       1.04e-01    1.06e-02    
19.16       9.09e-02    9.95e-03    
19.53       9.17e-02    9.08e-03    
19.69       9.13e-02    9.59e-03    
20.06       1.03e-01    1.05e-02    
20.22       1.00e-01    1.03e-02    
20.59       1.15e-01    1.15e-02    
20.75       1.01e-01    1.03e-02    
21.12       1.25e-01    1.37e-02    
21.65       1.19e-01    1.26e-02    
22.02       1.09e-01    1.08e-02    
22.18       1.12e-01    1.14e-02    
22.55       1.08e-01    1.09e-02    
22.71       9.99e-02    1.04e-02    
23.08       9.51e-02    1.00e-02    
23.23       9.09e-02    9.38e-03    
23.61       8.65e-02    9.38e-03    
24.14       6.92e-02    7.77e-03    
24.51       5.83e-02    6.00e-03    
24.66       6.52e-02    6.97e-03    
25.04       5.97e-02    6.32e-03    
25.19       6.18e-02    6.60e-03    
25.57       5.80e-02    6.36e-03    
25.72       5.64e-02    6.42e-03    
26.09       5.59e-02    5.98e-03    
26.62       5.03e-02    5.72e-03    
27.00       4.69e-02    4.97e-03    
27.14       5.06e-02    5.66e-03    
27.52       4.53e-02    5.19e-03    
27.67       4.30e-02    4.77e-03    
28.05       3.92e-02    4.47e-03    
28.19       3.60e-02    4.47e-03    
28.57       3.65e-02    4.31e-03    
29.10       3.19e-02    4.76e-03    
29.62       2.66e-02    3.95e-03    
30.14       2.58e-02    3.92e-03    
30.66       2.49e-02    2.97e-03    
30.71       2.47e-02    2.84e-03    
31.24       2.08e-02    2.43e-03    
31.76       1.89e-02    2.68e-03    
32.28       1.50e-02    2.30e-03    
32.80       1.42e-02    2.13e-03    
33.32       1.26e-02    2.02e-03    
33.84       1.19e-02    2.13e-03    
34.36       7.98e-03    1.81e-03    
34.41       8.97e-03    1.62e-03    
34.93       7.66e-03    1.43e-03    
35.45       8.83e-03    1.39e-03    
35.97       5.94e-03    1.53e-03    
36.49       5.41e-03    1.07e-03    
37.00       5.11e-03    9.85e-04    
37.52       3.48e-03    9.64e-04    
38.04       2.80e-03    1.03e-03    
38.09       2.88e-03    1.41e-03    
38.61       2.90e-03    8.40e-04    
39.13       3.29e-03    8.61e-04    
39.64       1.96e-03    7.43e-04    
40.16       1.97e-03    5.91e-04    
40.67       1.36e-03    6.00e-04    
41.18       8.82e-04    4.42e-04    
41.69       1.35e-03    4.42e-04    
41.76       7.33e-04    2.27e-04    
42.27       8.87e-04    3.29e-04    
42.79       8.54e-04    3.22e-04    
43.29       8.94e-04    3.33e-04    
43.81       5.25e-04    2.69e-04    
44.32       6.00e-04    2.83e-04    
44.84       4.89e-04    3.00e-04    
45.34       6.59e-04    2.65e-04    
