Projectile: 6Li; target: 28Si; E = 13.0 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
16.085      0.9561                  
20.637      0.9566                  
24.583      0.9570                  
28.227      0.9136                  
30.960      0.8858                  
33.999      0.8069                  
40.077      0.6695                  
45.547      0.5821                  
51.321      0.4830                  
57.401      0.3824                  
63.786      0.2935                  
69.559      0.2512                  
79.895      0.1729                  
91.446      0.1136                  
110.893     0.0659                  
129.429     0.0395                  
146.435     0.0323                  
163.446     0.0229                  
