Projectile: 6Li; target: 28Si; E = 16.0 MeV
http://dx.doi.org/10.1051/epjconf/20111703004
Angle       R/s
18.78       1.          0.03        
24.2        0.91        0.03        
28.4        0.77        0.02        
33.18       0.72        0.03        
37.93       0.47        0.02        
42.65       0.41        0.02        
47.33       0.37        0.03        
54.29       0.24        0.02        
61.15       0.17        0.03        
67.91       0.13        0.03        
74.56       0.12        0.03        
