Projectile: 6Li; target: 28Si; E = 20.0 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
19.527      0.8218                  
22.264      0.7130                  
28.043      0.5368                  
32.918      0.3342                  
37.480      0.2722                  
40.827      0.2217                  
46.308      0.1425                  
52.086      0.1090                  
63.653      0.0487                  
70.031      0.0443                  
74.600      0.0294                  
81.603      0.0172                  
91.633      0.0123                  
112.008     0.0047                  
129.918     0.0045                  
146.672     0.0010      0.0003      
163.329     0.0025                  
