Projectile: 6Li; target: 28Si; E = 210.0 MeV
http://dx.doi.org/10.1103/PhysRevC.39.536
Angle       C/s
3.499e+00   4.725e+04   
3.837e+00   3.754e+04   
4.120e+00   2.805e+04   
4.861e+00   5.954e+03   
5.990e+00   2.197e+03   
7.277e+00   2.811e+03   
8.521e+00   7.990e+02   
9.151e+00   1.571e+02   
9.782e+00   2.529e+01   
1.033e+01   1.307e+02   
1.094e+01   2.610e+02   
1.212e+01   1.892e+02   
1.342e+01   4.018e+01   
1.405e+01   1.625e+01   
1.460e+01   2.015e+01   
1.595e+01   3.727e+01   
1.712e+01   2.787e+01   
1.831e+01   1.028e+01   
1.887e+01   6.011e+00   
1.949e+01   6.394e+00   
2.016e+01   6.802e+00   
2.083e+01   7.695e+00   
2.201e+01   6.308e+00   
2.314e+01   3.804e+00   
2.432e+01   2.515e+00   
2.555e+01   2.331e+00   
2.684e+01   2.001e+00   
2.797e+01   1.451e+00   
2.920e+01   9.893e-01   
3.038e+01   7.627e-01   
3.156e+01   5.615e-01   
3.398e+01   3.091e-01   
3.634e+01   1.351e-01   
3.875e+01   6.890e-02   
4.112e+01   2.320e-02   
4.353e+01   1.201e-02   
4.584e+01   4.939e-03   
