Projectile: 6Li; target: 28Si; E = 9.0 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
28.4        0.92        0.00007     
31.4        0.93        0.00083     
34.4        0.919       0.0013      
37.9        0.913       0.0013      
41.5        0.922       0.0015      
44.43       0.975       0.0029      
47.35       0.96        0.002       
50.85       0.956       0.0036      
54.32       0.932       0.004       
57.19       0.955       0.006       
60.05       0.901       0.0035      
64.01       0.92        0.0069      
70.73       0.837       0.08        
76.22       0.806       0.08        
80.03       0.785       0.07        
83.26       0.789       0.079       
88.5        0.75        0.07        
92.22       0.63        0.06        
95.8        0.65        0.0058      
98.3        0.63        0.06        
100.9       0.631       0.042       
103.9       0.601       0.042       
106.8       0.574       0.04        
109.322     0.542       0.04        
117.9       0.49        0.01        
121.2       0.456       0.009       
123.49      0.439       0.015       
125.8       0.41        0.007       
128.5       0.485       0.014       
131.17      0.424       0.014       
133.39      0.436       0.0075      
135.58      0.377       0.009       
138.2       0.43        0.01        
140.8       0.43        0.013       
142.9       0.328       0.0064      
145.        0.36        0.009       
147.        0.34        0.015       
