Projectile: 6Li; target: 40Ca; E = 210.0 MeV
http://dx.doi.org/10.1103/PhysRevC.39.536
Angle       C/s
4.477e+00   9.798e+03               
5.022e+00   5.505e+03               
5.606e+00   5.435e+03               
6.139e+00   4.873e+03               
6.735e+00   3.056e+03               
7.236e+00   1.234e+03               
7.855e+00   3.040e+02               
8.514e+00   1.263e+02               
9.131e+00   2.767e+02               
9.652e+00   4.014e+02               
1.035e+01   3.454e+02               
1.089e+01   2.258e+02               
1.144e+01   8.283e+01               
1.197e+01   1.278e+01               
1.250e+01   1.178e+01               
1.327e+01   3.691e+01               
1.363e+01   5.353e+01               
1.443e+01   5.143e+01               
1.486e+01   3.181e+01               
1.547e+01   1.475e+01               
1.602e+01   5.638e+00               
1.661e+01   4.406e+00               
1.729e+01   6.754e+00               
1.776e+01   9.401e+00               
1.845e+01   9.282e+00               
1.898e+01   7.354e+00               
1.958e+01   4.247e+00               
2.008e+01   2.259e+00               
2.056e+01   1.476e+00               
2.125e+01   1.605e+00               
2.183e+01   2.001e+00               
2.241e+01   2.175e+00               
2.316e+01   1.846e+00               
2.418e+01   9.693e-01               
2.525e+01   6.517e-01               
2.642e+01   6.619e-01               
2.754e+01   6.362e-01               
2.877e+01   4.220e-01               
2.984e+01   2.649e-01               
3.101e+01   2.101e-01               
3.213e+01   2.163e-01               
3.448e+01   1.138e-01               
3.667e+01   5.434e-02   6.320e-03   
3.897e+01   2.560e-02   2.983e-03   
4.122e+01   9.290e-03   1.520e-03   
4.346e+01   5.683e-03   9.297e-04   
