Projectile: 6Li; target: 40Ca; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.044612
Angle       R/s
4.32        2.27e-01    3.1e-02     
4.75        1.66e-01    2.3e-02     
5.19        1.92e-01    2.6e-02     
5.62        2.48e-01    3.2e-02     
6.06        2.81e-01    3.6e-02     
6.51        2.72e-01    3.6e-02     
6.56        2.67e-01    3.5e-02     
6.95        2.04e-01    2.8e-02     
7.00        1.90e-01    2.4e-02     
7.39        1.24e-01    1.7e-02     
7.45        1.10e-01    1.4e-02     
7.89        6.01e-02    8.4e-03     
8.34        4.31e-02    6.9e-03     
8.78        8.28e-02    1.1e-02     
9.23        1.30e-01    1.6e-02     
9.67        1.65e-01    2.0e-02     
10.17       1.35e-01    1.7e-02     
10.62       9.47e-02    1.2e-02     
11.07       5.07e-02    6.9e-03     
11.12       3.21e-02    4.3e-03     
11.52       2.18e-02    3.1e-03     
11.57       1.60e-02    2.3e-03     
11.96       1.59e-02    2.2e-03     
12.47       3.77e-02    4.9e-03     
12.91       6.08e-02    9.3e-03     
13.36       7.66e-02    1.1e-02     
13.81       7.75e-02    1.0e-02     
13.87       6.59e-02    8.3e-03     
14.26       6.59e-02    9.2e-03     
14.31       5.50e-02    7.6e-03     
14.76       3.81e-02    5.1e-03     
15.21       2.24e-02    3.1e-03     
15.71       1.23e-02    1.7e-03     
16.10       1.87e-02    2.5e-03     
16.55       2.72e-02    3.7e-03     
17.06       3.43e-02    4.5e-03     
17.50       3.76e-02    5.1e-03     
17.95       3.60e-02    4.7e-03     
18.40       3.08e-02    4.0e-03     
18.46       2.54e-02    3.3e-03     
18.85       2.37e-02    3.1e-03     
18.90       1.98e-02    2.5e-03     
19.35       1.66e-02    2.2e-03     
19.80       1.47e-02    2.0e-03     
20.25       1.58e-02    2.1e-03     
20.69       1.93e-02    2.5e-03     
20.75       1.87e-02    2.5e-03     
21.14       2.22e-02    3.2e-03     
21.20       2.13e-02    2.9e-03     
21.64       2.25e-02    2.9e-03     
22.09       2.14e-02    2.7e-03     
22.54       1.94e-02    2.7e-03     
22.98       1.85e-02    2.5e-03     
23.04       1.71e-02    2.3e-03     
23.43       1.52e-02    2.2e-03     
23.49       1.54e-02    2.1e-03     
23.93       1.50e-02    2.0e-03     
24.38       1.47e-02    1.9e-03     
24.83       1.60e-02    2.3e-03     
25.33       1.59e-02    2.2e-03     
25.72       1.64e-02    2.4e-03     
26.22       1.72e-02    2.4e-03     
26.67       1.66e-02    2.3e-03     
27.11       1.47e-02    1.9e-03     
27.55       1.39e-02    2.1e-03     
28.00       1.18e-02    1.9e-03     
28.31       1.03e-02    1.5e-03     
28.76       1.02e-02    1.5e-03     
29.20       9.75e-03    1.4e-03     
29.64       9.87e-03    1.4e-03     
30.09       8.55e-03    1.2e-03     
30.53       8.25e-03    1.2e-03     
30.97       7.34e-03    1.3e-03     
31.42       7.05e-03    1.3e-03     
31.73       6.08e-03    9.8e-04     
32.17       6.11e-03    1.0e-03     
32.62       5.10e-03    8.5e-04     
33.50       3.87e-03    7.2e-04     
33.94       3.92e-03    6.6e-04     
34.38       3.76e-03    7.0e-04     
34.82       3.41e-03    6.3e-04     
36.02       3.00e-03    6.1e-04     
36.46       2.55e-03    5.8e-04     
37.34       2.14e-03    4.7e-04     
37.78       1.70e-03    4.6e-04     
38.22       1.43e-03    3.9e-04     
