Projectile: 6Li; target: 58Ni; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.81.014603
Angle       R/s
3.90        3.80e-01    4.31e-02    
4.37        2.72e-01    3.17e-02    
4.84        2.63e-01    3.02e-02    
5.31        2.75e-01    3.13e-02    
5.78        2.48e-01    2.83e-02    
6.11        2.34e-01    2.75e-02    
6.25        1.60e-01    1.82e-02    
6.57        1.33e-01    1.52e-02    
6.72        8.83e-02    9.97e-03    
7.04        6.57e-02    8.66e-03    
7.51        6.72e-02    8.57e-03    
7.98        1.00e-01    1.19e-02    
8.31        1.26e-01    1.42e-02    
8.45        1.24e-01    1.40e-02    
8.78        1.41e-01    1.59e-02    
8.92        1.14e-01    1.30e-02    
9.25        1.01e-01    1.15e-02    
9.39        7.55e-02    8.64e-03    
9.72        5.10e-02    6.19e-03    
10.19       1.85e-02    2.25e-03    
10.66       1.39e-02    1.73e-03    
11.05       2.50e-02    2.94e-03    
11.13       3.05e-02    3.61e-03    
11.52       4.79e-02    5.56e-03    
11.60       5.10e-02    5.82e-03    
11.99       6.08e-02    7.03e-03    
12.45       5.37e-02    6.19e-03    
12.78       4.06e-02    4.66e-03    
12.92       3.32e-02    3.75e-03    
13.25       2.23e-02    2.53e-03    
13.39       1.37e-02    1.57e-03    
13.72       7.07e-03    1.39e-03    
14.18       5.78e-03    1.07e-03    
14.65       1.43e-02    1.64e-03    
14.98       2.01e-02    2.30e-03    
15.12       2.36e-02    2.75e-03    
15.45       2.74e-02    3.13e-03    
15.59       2.75e-02    3.19e-03    
15.91       2.48e-02    2.80e-03    
16.06       2.32e-02    2.64e-03    
16.38       1.68e-02    1.92e-03    
16.85       8.26e-03    9.53e-04    
17.18       4.82e-03    5.71e-04    
17.32       3.48e-03    4.41e-04    
17.65       3.64e-03    5.34e-04    
17.79       4.71e-03    5.69e-04    
18.11       6.86e-03    7.98e-04    
18.26       7.40e-03    8.74e-04    
18.58       1.02e-02    1.18e-03    
19.05       1.20e-02    1.40e-03    
19.38       9.94e-03    1.21e-03    
19.52       1.06e-02    1.26e-03    
19.84       8.06e-03    9.33e-04    
19.99       8.18e-03    9.68e-04    
20.31       5.75e-03    7.16e-04    
20.45       5.04e-03    6.23e-04    
20.78       3.56e-03    5.64e-04    
21.25       3.14e-03    3.97e-04    
21.57       3.67e-03    4.50e-04    
21.88       4.65e-03    5.54e-04    
22.18       5.62e-03    6.82e-04    
22.51       5.73e-03    6.89e-04    
22.65       5.86e-03    7.02e-04    
22.98       5.56e-03    7.06e-04    
23.44       4.74e-03    6.09e-04    
23.77       4.00e-03    5.45e-04    
23.91       3.93e-03    5.04e-04    
24.24       3.78e-03    5.49e-04    
24.38       3.29e-03    4.73e-04    
24.70       3.20e-03    5.38e-04    
24.85       3.16e-03    4.13e-04    
25.17       2.98e-03    4.86e-04    
25.64       3.34e-03    5.05e-04    
26.11       3.68e-03    5.34e-04    
26.57       3.86e-03    5.47e-04    
27.04       4.02e-03    5.72e-04    
27.06       4.16e-03    5.89e-04    
27.53       4.13e-03    5.84e-04    
27.99       4.22e-03    5.95e-04    
28.46       4.07e-03    5.97e-04    
28.93       3.58e-03    5.64e-04    
29.39       2.79e-03    4.70e-04    
29.86       3.21e-03    5.18e-04    
30.32       3.37e-03    5.79e-04    
30.81       2.86e-03    4.09e-04    
31.27       2.98e-03    4.36e-04    
31.74       2.79e-03    4.29e-04    
32.20       2.48e-03    4.07e-04    
32.67       2.25e-03    3.35e-04    
33.14       2.12e-03    3.64e-04    
33.60       1.85e-03    3.26e-04    
34.08       1.55e-03    2.66e-04    
34.55       1.55e-03    2.40e-04    
35.01       1.47e-03    2.60e-04    
35.48       1.25e-03    2.71e-04    
35.94       1.27e-03    2.22e-04    
36.41       1.14e-03    1.92e-04    
36.87       9.99e-04    1.95e-04    
36.89       9.52e-04    1.79e-04    
37.35       9.98e-04    1.81e-04    
37.82       8.27e-04    1.83e-04    
38.28       7.51e-04    1.86e-04    
38.74       6.05e-04    1.13e-04    
39.20       5.70e-04    1.10e-04    
39.67       5.63e-04    1.25e-04    
40.13       4.85e-04    1.53e-04    
40.15       4.86e-04    1.17e-04    
40.61       4.35e-04    1.19e-04    
41.07       3.78e-04    1.15e-04    
41.53       3.55e-04    1.14e-04    
42.00       3.05e-04    1.13e-04    
42.46       2.58e-04    1.00e-04    
42.92       1.88e-04    5.15e-05    
43.38       1.86e-04    5.11e-05    
