Projectile: 6Li; target: 58Ni; E = 73.7 MeV
http://dx.doi.org/10.1103/PhysRevC.22.1522
Angle       R/s
7.54e+00    8.60e-01                
8.47e+00    6.70e-01                
9.55e+00    6.53e-01                
1.06e+01    5.48e-01                
1.17e+01    4.27e-01                
1.26e+01    3.08e-01                
1.38e+01    2.58e-01                
1.51e+01    2.46e-01                
1.63e+01    2.11e-01                
1.72e+01    1.53e-01                
1.82e+01    1.05e-01                
1.93e+01    8.39e-02                
2.05e+01    8.60e-02                
2.17e+01    8.18e-02                
2.26e+01    6.06e-02                
2.39e+01    4.06e-02                
2.50e+01    2.58e-02                
2.59e+01    2.65e-02                
2.70e+01    2.93e-02                
2.82e+01    2.65e-02                
2.95e+01    1.96e-02                
3.05e+01    1.05e-02                
3.15e+01    6.53e-03                
3.26e+01    8.18e-03                
3.38e+01    1.02e-02                
3.47e+01    9.51e-03                
3.59e+01    6.70e-03                
3.70e+01    2.72e-03                
3.81e+01    1.56e-03                
4.03e+01    3.16e-03                
4.24e+01    2.22e-03                
4.35e+01    1.19e-03                
4.46e+01    3.32e-04                
4.57e+01    3.08e-04                
4.79e+01    7.22e-04                
5.00e+01    4.60e-04                
5.21e+01    9.04e-05    2.87e-05    
5.44e+01    2.46e-04                
