Projectile: 6Li; target: 58Ni; E = 90.0 MeV

Angle       C/s
11.0        3860.       100.0       
13.2        1140.       40.0        
15.5        363.        12.0        
17.5        104.        4.0         
19.5        66.5        3.5         
22.0        16.0        1.1         
24.0        13.3        0.5         
26.5        56.5        4.6         
28.5        1.06        0.15        
30.0        2.06        0.13        
31.0        2.32        0.23        
32.0        0.950       0.09        
33.0        0.522       0.042       
34.5        0.821       0.098       
36.5        0.423       0.077       
40.0        0.0158      0.0079      
44.0        0.0425      0.0162      
