Projectile: 6Li; target: 7Li; E = 24 MeV
http://dx.doi.org/10.1016/j.physletb.2019.134820
Angle       C/s
13.0        3.255e+03   1.82e+02    
15.0        1.944e+03   1.03e+02    
16.7        1.229e+03   6.85e+01    
18.7        7.018e+02   3.58e+01    
20.5        3.517e+02   1.81e+01    
22.3        1.783e+02   9.98e+00    
24.1        9.952e+01   5.81e+00    
26.1        6.401e+01   4.18e+00    
27.8        5.778e+01   3.63e+00    
29.7        6.350e+01   4.03e+00    
31.7        6.115e+01   3.76e+00    
33.4        5.917e+01   3.63e+00    
35.3        5.134e+01   3.19e+00    
37.1        4.282e+01   2.76e+00    
38.9        3.321e+01   2.05e+00    
40.7        2.296e+01   1.44e+00    
42.6        1.408e+01   9.26e-01    
44.5        7.671e+00   5.48e-01    
46.3        4.900e+00   3.59e-01    
48.2        2.715e+00   2.35e-01    
49.9        2.498e+00   2.67e-01    
