Projectile: 6Li; target: 80Se; E = 23.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
24.03       0.953       0.0378      
26.71       0.948       0.0530      
29.55       1.046       0.0482      
32.22       1.052       0.0420      
35.28       1.012       0.0438      
37.94       0.990       0.0556      
40.30       0.986       0.0317      
42.95       0.889       0.0311      
45.60       0.788       0.0450      
48.25       0.700       0.0592      
50.76       0.640       0.0224      
53.39       0.543       0.0365      
55.88       0.456       0.0244      
58.55       0.408       0.0361      
60.72       0.362       0.0152      
63.32       0.306       0.0091      
66.88       0.270       0.0116      
69.48       0.236       0.0069      
69.50       0.234       0.0068      
71.76       0.200       0.0085      
74.36       0.158       0.0078      
76.90       0.142       0.0095      
79.47       0.121       0.0050      
81.89       0.102       0.0065      
84.46       0.082       0.0063      
86.79       0.076       0.0041      
86.82       0.076       0.0042      
89.32       0.065       0.0065      
91.51       0.054       0.0031      
94.03       0.052       0.0029      
97.35       0.034       0.0027      
99.83       0.028       0.0017      
102.04      0.026       0.0034      
104.51      0.022       0.0047      
106.99      0.019       0.0022      
109.44      0.016       0.0032      
111.70      0.016       0.0023      
114.23      0.013       0.0026      
116.53      0.011       0.0027      
116.58      0.011       0.0027      
118.96      0.011       0.0027      
121.04      0.010       0.0027      
121.85      0.010       0.0028      
123.45      0.009       0.0028      
126.40      0.007       0.0028      
131.19      0.005       0.0028      
135.85      0.004       0.0029      
140.46      0.004       0.0029      
144.85      0.003       0.0029      
