Projectile: 6Li; target: 89Y; E = 60.0 MeV
http://dx.doi.org/10.1088/0305-4616/9/10/011
Angle       R/s
6.05        0.85        13.         
7.17        0.88        9.          
8.41        0.96        8.          
9.9         1.03        11.         
11.28       1.21        14.         
12.76       1.16        15.         
13.85       0.97        14.         
16.79       0.74        11.         
17.88       0.63        14.         
19.58       0.49        20.         
20.42       0.4         15.         
21.99       0.28        14.         
23.35       0.29        14.         
24.78       0.193       13.         
27.45       0.121       20.         
28.66       9.7e-02     15.         
29.74       7.9e-02     24.         
30.71       6.4e-02     19.         
32.41       5.3e-02     25.         
33.99       4.2e-02     12.         
35.29       2.6e-02     19.         
37.83       1.6e-02     40.         
40.41       1.3e-02     30.         
43.16       6.1e-03     18.         
48.45       1.8e-03     80.         
