Projectile: 6Li; target: 90Zr; E = 30.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
50.58       0.3983      1.616e-03   
52.67       0.3414      1.202e-03   
57.87       0.2275      5.39e-04    
63.05       0.1421      1.173e-03   
65.63       0.1224      1.033e-03   
68.21       0.0952      8.73e-04    
73.34       0.0631      4.23e-04    
75.89       0.0539      2.266e-03   
78.44       0.0407      9.16e-04    
83.51       0.0281      1.075e-03   
88.56       0.0178      7.79e-04    
93.57       0.0121      6.57e-04    
98.56       9.125e-04   3.17e-04    
