Projectile: 6Li; target: 90Zr; E = 73.7 MeV
http://dx.doi.org/10.1103/PhysRevC.22.1522
Angle       R/s
8.32e+00    1.14e+00                
9.25e+00    1.11e+00                
1.03e+01    1.03e+00                
1.14e+01    9.33e-01                
1.26e+01    7.81e-01                
1.35e+01    6.38e-01                
1.46e+01    5.34e-01                
1.58e+01    4.47e-01                
1.69e+01    3.46e-01                
1.80e+01    2.76e-01                
1.91e+01    2.37e-01                
2.02e+01    2.08e-01                
2.11e+01    1.61e-01                
2.22e+01    1.22e-01                
2.31e+01    9.74e-02                
2.43e+01    8.58e-02                
2.52e+01    7.56e-02                
2.65e+01    6.01e-02                
2.76e+01    4.32e-02                
2.86e+01    3.35e-02                
2.96e+01    3.03e-02                
3.05e+01    2.88e-02                
3.16e+01    2.23e-02                
3.40e+01    1.04e-02                
3.59e+01    8.30e-03                
3.80e+01    5.97e-03                
4.04e+01    2.71e-03                
4.24e+01    2.27e-03                
4.45e+01    1.85e-03                
4.67e+01    5.63e-04                
4.87e+01    5.22e-04                
5.07e+01    4.04e-04                
5.27e+01    1.98e-04    4.48e-05    
